# 本项目补译的中文释义：词形(|分隔)	读音	释义
十	とお	十，十个
恐るべき	おそるべき	可怕的，惊人的
オゾンホール	おぞんほーる	臭氧空洞
お互いに	おたがいに	互相，彼此
オタク	おたく	御宅族，宅男宅女；狂热爱好者
お試しあれ	おためしあれ	请一试！
オタワ	おたわ	渥太华
お誕生日	おたんじょうび	生日
お誕生日おめでとうございます	おたんじょうびおめでとうございます	生日快乐
汚濁	おだく	污浊，污染
落ち	おち	遗漏，疏漏；结局，结果；（笑话的）包袱
落ち合う	おちあう	碰面，会合；（河流等）汇合
落ちこぼれ	おちこぼれ	落伍者，跟不上的学生
落ち着いた	おちついた	沉着的，稳重的
お中元	おちゅうげん	中元节礼品
追っかけ	おっかけ	追赶；追星族
追っかける	おっかける	追赶，追逐
おっきい|大っきい	おっきい	大的（大きい的口语说法）
オックスフォード|牛津	おっくすふぉーど	牛津
ＯＫ	おっけー	好的，行
おっさん	おっさん	大叔，老头（对中年男子的俗称）
追っ手	おって	追兵，追捕者
おっと	おっと	哎呀，哎哟
おっぱい	おっぱい	（俗）乳房，奶
お疲れ様	おつかれさま	辛苦了
お手数	おてすう	麻烦，费神
お手数ですが	おてすうですが	麻烦您了，劳驾
汚点	おてん	污点，瑕疵
お天気	おてんき	天气；心情，脾气
おでこ|お凸	おでこ	额头
おでん|御田	おでん	关东煮
男たち	おとこたち	男人们
男前	おとこまえ	帅哥，美男子
男らしい	おとこらしい	有男子气概的
落とし穴	おとしあな	陷阱
訪れ	おとずれ	来访；（季节等的）到来
一昨年	おととし	前年
大人っぽい	おとなっぽい	老成的，成熟的（样子）
大人になる	おとなになる	长大成人
衰え	おとろえ	衰弱，衰退
オドオド	おどおど	胆怯，战战兢兢
脅し	おどし	威胁，恐吓；吓唬人的东西（稻草人等）
躍り	おどり	跳跃
踊り子	おどりこ	舞女，舞者
踊り場	おどりば	（楼梯的）平台；舞厅；（经济等的）平缓期
驚くほど	おどろくほど	惊人地，出乎意料地
お腹の子	おなかのこ	腹中胎儿
同じく	おなじく	同样，同样地
おなじみ|お馴染み	おなじみ	熟悉的，老相识的；老主顾
お名前	おなまえ	（您的）姓名
おなら	おなら	屁
オニオン	おにおん	洋葱
おにぎり|お握り	おにぎり	饭团
鬼ごっこ	おにごっこ	捉迷藏，抓人游戏
尾根	おね	（山）脊，山脊
お願い	おねがい	请求，拜托
お願いいたします	おねがいいたします	拜托了，请多关照
己	おのれ	自己；（蔑称）你
オハイオ	おはいお	俄亥俄州
お話	おはなし	故事；谈话
お話中	おはなしちゅう	（电话）占线
おはようございます|お早うございます	おはようございます	早上好
おばあちゃん|お婆ちゃん	おばあちゃん	奶奶，外婆；老婆婆
伯母さん; 叔母さん	おばさん	阿姨，大婶
お久しぶり	おひさしぶり	好久不见
お一人様	おひとりさま	一位（顾客）；单身独居女性
オピニオン	おぴにおん	意见，看法
オピニオンリーダー	おぴにおんりーだー	意见领袖
オフィシャル	おふぃしゃる	正式的，官方的
オフサイド	おふさいど	（足球）越位
オフシーズン	おふしーずん	淡季
オフレコ	おふれこ	非正式发言，不公开报道
オフロード	おふろーど	越野（的）
オブザーバー	おぶざーばー	观察员
オブジェ	おぶじぇ	（艺术品的）摆件，装置艺术品
汚物	おぶつ	污物，秽物
オブラート	おぶらーと	（药用）糯米纸，糖衣纸
オペ	おぺ	手术
オペレッタ	おぺれった	轻歌剧
オペレーション	おぺれーしょん	操作，运作
オペレーター	おぺれーたー	操作员，话务员
お坊さん	おぼうさん	和尚
覚書	おぼえがき	备忘录
お待ちかね	おまちかね	期待已久（的）
お守り	おまもり	护身符
お神輿	おみこし	神轿；腰
お見積もり	おみつもり	报价，估价单
オムニバス	おむにばす	集锦式（作品）
オムレツ	おむれつ	煎蛋卷，欧姆蛋
汚名	おめい	恶名，污名
Ω	おめが	希腊字母欧米伽；终结
思い上がる	おもいあがる	自满，自大
思い当たる	おもいあたる	想起，恍然大悟
思い描く	おもいえがく	想象，构想
思い起こす	おもいおこす	回想起，忆起
思い思い	おもいおもい	各随己意，各自
思い切って	おもいきって	毅然，果断地
思いつき	おもいつき	想法，灵感
思いとどまる	おもいとどまる	打消念头，放弃（打算）
思い直す	おもいなおす	重新考虑，改变主意
思いやる	おもいやる	体贴，体谅
重き	おもき	重要，重视
重し	おもし	压石，镇物
面白	おもしろ	有趣的，好玩的
面	おもて	脸，面孔；表面；面具
表立って	おもてだって	公开地，公然地
表立つ	おもてだつ	公开化，公之于众
おもてなし|お持て成し	おもてなし	款待，招待
表向き	おもてむき	表面上，名义上
重荷	おもに	重担，负担
面持ち	おももち	神情，脸色
重る	おもる	（病情）加重，恶化
思われる	おもわれる	被认为，似乎
おや	おや	哎呀！咦！
親会社	おやがいしゃ	母公司
おやすみなさい|お休みなさい	おやすみなさい	晚安
親バカ	おやばか	溺爱孩子的父母
親不孝	おやふこう	不孝
親分	おやぶん	首领，头目
親譲り	おやゆずり	继承自父母（的相貌、性格等）
オラクル	おらくる	神谕，预言
オラトリオ	おらとりお	清唱剧
オランウータン	おらんうーたん	猩猩
オランダ|阿蘭陀	おらんだ	荷兰
織り	おり	编织，织法
折り合い	おりあい	妥协，和解
オリエンタリズム	おりえんたりずむ	东方主义
オリエンタル	おりえんたる	东方（风格）的
オリエンテーリング	おりえんてーりんぐ	定向越野
オリエント	おりえんと	东方（古代近东地区）
折々	おりおり	不时，偶尔
オリオン	おりおん	猎户座
折から	おりから	正值，恰逢其时
折り紙	おりがみ	折纸；品质保证，鉴定证书
オリゴマー	おりごまー	寡聚物，低聚物
折りたたみ	おりたたみ	折叠式的
折に触れて	おりにふれて	每逢机会，不时
オリーブ色	おりーぶいろ	橄榄色
オルグ	おるぐ	（工会等的）组织者，组织工作
オルゴール	おるごーる	八音盒
オレンジ色	おれんじいろ	橙色
おろおろ	おろおろ	惊慌失措，手足无措
おろか|疎か	おろか	不用说，更不用说
卸	おろし	批发
卸売	おろしうり	批发
卸売市場	おろしうりしじょう	批发市场
卸売物価	おろしうりぶっか	批发物价
卸値	おろしね	批发价
終値	おわりね	收盘价
オン|ＯＮ	おん	开（开关）；（高尔夫）球上果岭
オンエア	おんえあ	正在播出，直播中
音階	おんかい	音阶
恩返し	おんがえし	报恩
恩給	おんきゅう	（旧时公务员）养老金，恩给
音響	おんきょう	音响，声音
音訓	おんくん	（汉字的）音读与训读
穏健	おんけん	稳健的，温和的
恩賜	おんし	（天皇的）恩赐
音質	おんしつ	音质
恩赦	おんしゃ	大赦，特赦
温床	おんしょう	温床，滋生地
恩知らず	おんしらず	忘恩负义
恩人	おんじん	恩人
オンス	おんす	盎司
温存	おんぞん	保留，保存
音程	おんてい	音程
穏当	おんとう	妥当的，稳妥的
音頭	おんど	领唱，带头（喊口号）；民谣舞曲
音読	おんどく	朗读；（汉字的）音读
温度計	おんどけい	温度计
女形	おんながた	（歌舞伎）男扮女装的演员；女方伴侣
女らしい	おんならしい	有女人味的，淑女般的
オンパレード	おんぱれーど	大展示，大汇演
穏便	おんびん	温和的，和缓的
オンブズマン	おんぶずまん	监察专员，申诉专员
音符	おんぷ	音符
オンリー	おんりー	仅，只有
御～	おん～	（敬语前缀）尊，贵
オーガ	おーが	食人魔，妖怪
オーク	おーく	橡树，橡木
オークス	おーくす	（赛马）橡树大赛
オーシャン	おーしゃん	海洋
オーダー	おーだー	订购，点单；顺序；数量级
オーチャード	おーちゃーど	果园
オーディオ	おーでぃお	音响设备
オーディション	おーでぃしょん	试演，选拔试镜
オート	おーと	自动，自动化
オートキャンプ	おーときゃんぷ	汽车露营
悲しみ	かなしみ	悲伤，悲哀
かなた|彼方	かなた	那边，彼方；远方
カナダ|加奈陀	かなだ	加拿大
奏でる	かなでる	演奏（弦乐器等）
要	かなめ	关键，要点，核心
カナリア|金糸雀	かなりあ	金丝雀
かに|蟹	かに	螃蟹
カヌー	かぬー	独木舟，皮划艇
かね	かね	（表疑问、感叹的终助词）呢，吧
兼ね合い	かねあい	平衡，协调
金がない	かねがない	没钱，手头拮据
過熱	かねつ	过热，白热化
可燃性	かねんせい	可燃性
可燃物	かねんぶつ	可燃物
可能性が高い	かのうせいがたかい	可能性很大，很有可能
可能にする	かのうにする	使成为可能，实现
河畔	かはん	河畔，河边
下半身	かはんしん	下半身
可否	かひ	可否，是否妥当
華美	かび	华丽，奢华
かび (～がはえる)	かび (～がはえる)	霉，霉菌
寡婦	かふ	寡妇
カフェ	かふぇ	咖啡馆
カフェイン	かふぇいん	咖啡因
カフェテリア	かふぇてりあ	自助餐厅
カフス	かふす	袖口
花粉症	かふんしょう	花粉症
カブ	かぶ	幼崽，幼兽（cub）
下部	かぶ	下部，下层
株券	かぶけん	股票，股票凭证
株式市場	かぶしきしじょう	股票市场
兜	かぶと	头盔，兜鍪
株主	かぶぬし	股东
かぶれ|気触れ	かぶれ	（皮肤）过敏，皮疹；着迷，沉迷
カプラー	かぷらー	连接器，耦合器
貨幣価値	かへいかち	货币价值
壁紙	かべがみ	壁纸；桌面背景图
下方	かほう	下方，下部
かぼちゃ|南瓜	かぼちゃ	南瓜
窯	かま	窑，炉灶
鎌	かま	镰刀
かまくら	かまくら	雪屋（日本东北地区正月的雪洞节庆）
鎌倉	かまくら	镰仓（地名）
窯元	かまもと	窑户，窑主
カマーバンド	かまーばんど	（礼服的）腰封
神風	かみかぜ	神风；神风特攻队
上期	かみき	上半期（财年）
紙芝居	かみしばい	纸芝居（连环画讲故事）
噛み付く	かみつく	咬，咬住；猛烈斥责
神業	かみわざ	神技，超凡技艺
カム	かむ	凸轮
かむ|擤む	かむ	擤（鼻涕）
亀	かめ	乌龟
加盟	かめい	加盟，加入
仮名	かめい	化名，假名
カメレオン	かめれおん	变色龙
仮面	かめん	面具，假面
寡黙	かもく	寡言，沉默寡言
かもしれません|かも知れません	かもしれません	也许，可能
かもしれん|かも知れん	かもしれん	也许，可能
カモメ|鴎	かもめ	海鸥
蚊帳	かや	蚊帐
火薬	かやく	火药
カヤック	かやっく	皮划艇
通い	かよい	往返，来往
火曜	かよう	星期二
か弱い	かよわい	柔弱的，纤弱的
から	から	从……；由于，因为
辛口	からくち	（酒等）辣口，不甜；辛辣（措辞）
からし|辛子	からし	芥末
体つき	からだつき	体格，身材
カラチ	からち	卡拉奇
からって	からって	（虽说）……也；就算……
カラット	からっと	克拉；开（金的纯度单位）
からには	からには	既然……
カラフル	からふる	多彩的，色彩缤纷的
空振り	からぶり	（棒球等）挥空棒；落空，白费力气
絡み	からみ	纠缠，牵连；关联
絡み合う	からみあう	相互纠缠，交织在一起
カラメル	からめる	焦糖
からり	からり	（开门窗等）哗啦一声；（天气）晴朗
カラーコーディネーター	からーこーでぃねーたー	色彩搭配师
カラード	からーど	有色人种
かり|雁	かり	大雁；龟头
刈り入れ	かりいれ	收割，收获
借り入れ	かりいれ	借入（资金）
借入金	かりいれきん	借款，贷款
カリウム	かりうむ	钾
カリキュラム	かりきゅらむ	课程，教学大纲
刈り込む	かりこむ	修剪
仮処分	かりしょぶん	（法律）临时处分，假处分
刈り取る	かりとる	收割，割取
仮に	かりに	假设，姑且
狩場	かりば	狩猎场
カリフォルニア	かりふぉるにあ	加利福尼亚
カリブ海	かりぶかい	加勒比海
花柳	かりゅう	花柳界，红灯区
狩人	かりゅうど	猎人
かりゆしウェア	かりゆしうぇあ	（冲绳）卡里由西衬衫
駆る	かる	驱使，驱赶；策马飞奔
カルガリー	かるがりー	卡尔加里
軽々	かるがる	轻轻松松地，轻而易举地
カルキ|加爾基	かるき	漂白粉
カルタ|歌留多	かるた	纸牌（日本传统游戏牌）
カルダモン	かるだもん	小豆蔻
カルチャー	かるちゃー	文化
カルチャーショック	かるちゃーしょっく	文化冲击
カルチャーセンター	かるちゃーせんたー	文化中心
カルテット	かるてっと	四重奏
カルテル	かるてる	卡特尔，垄断联盟
カルデラ	かるでら	破火山口
カルト	かると	邪教，异端崇拜
軽はずみ	かるはずみ	轻率的，草率的
カルバドス	かるばどす	卡尔瓦多斯苹果白兰地
カルメラ	かるめら	蜂窝糖，焦糖脆糖
華麗	かれい	华丽，绚丽
枯れ木	かれき	枯木
カレッジ	かれっじ	学院，大学
枯葉	かれは	枯叶
可憐	かれん	娇小可爱，惹人怜爱
カレンシー	かれんしー	货币
咖哩	かれー	咖喱
カレーライス	かれーらいす	咖喱饭
カロチン	かろちん	胡萝卜素
軽やか	かろやか	轻快的，轻盈的
カロライナ	かろらいな	卡罗来纳州
カローラ	かろーら	花冠（丰田车型）
川; 河	かわ	河，河流
川上	かわかみ	河流上游
渇き	かわき	口渴；渴望
皮切り	かわきり	开端，开始
川岸	かわぎし	河岸
川崎	かわさき	川崎（地名）
川下	かわしも	河流下游
為替相場	かわせそうば	汇率
川沿い	かわぞい	沿河的，河边的
川端	かわばた	河边，河畔
河原	かわら	干涸河床，河滩
変わらない	かわらない	不变的，一如既往的
替わる	かわる	代替，替换
代わる代わる	かわるがわる	轮流，交替
艦	かん	军舰
観	かん	（事物的）外观，印象
感	かん	感觉，感触
棺	かん	棺材
貫	かん	贯（旧重量、货币单位）；（寿司计量单位）贯
間	かん	间隔，期间；……之间
～観	かん	……观（看法，认识）
勘案	かんあん	斟酌，考虑
間一髪	かんいっぱつ	千钧一发，间不容发
簡易保険	かんいほけん	简易人寿保险
肝炎	かんえん	肝炎
感化	かんか	感化，影响
看過	かんか	忽视，放任不管
官界	かんかい	官场，政界
管轄	かんかつ	管辖
感慨	かんがい	感慨
感慨無量	かんがいむりょう	感慨万千
考え方	かんがえかた	想法，思考方式
考えてみれば	かんがえてみれば	仔细想来，细想起来
カンガルー	かんがるー	袋鼠
喚起	かんき	唤起，激起
歓喜	かんき	欢喜，欣喜
乾季	かんき	旱季
寒気	かんき	寒气，冷空气
換気扇	かんきせん	排气扇
緩急	かんきゅう	缓急，快慢
環境庁	かんきょうちょう	（日本旧）环境厅
換金	かんきん	变卖成现金，兑现
監禁	かんきん	监禁，囚禁
勧業	かんぎょう	劝业，鼓励产业发展
管区	かんく	辖区，管区
管区気象台	かんくきしょうだい	地方气象台
関係者	かんけいしゃ	相关人员，有关人士
官憲	かんけん	官府，当局
観劇	かんげき	看戏，观剧
甘言	かんげん	甜言蜜语，花言巧语
管弦楽	かんげんがく	管弦乐
管弦楽団	かんげんがくだん	管弦乐团
敢行	かんこう	断然实行，果敢施行
官公庁	かんこうちょう	政府机关，公署
肝硬変	かんこうへん	肝硬化
冠婚葬祭	かんこんそうさい	冠婚葬祭，人生重要礼仪
缶コーヒー	かんこーひー	罐装咖啡
監獄	かんごく	监狱
監査	かんさ	审查，审计
簡裁	かんさい	（日本）简易法院
関西人	かんさいじん	关西人
監察	かんさつ	监察
監査役	かんさやく	监事，审计员
閑散	かんさん	冷清，萧条
管財	かんざい	财产管理
カンザス	かんざす	堪萨斯州
漢詩	かんし	汉诗
看守	かんしゅ	看守，狱警
監修	かんしゅう	监修，主编
勧奨	かんしょう	劝导，鼓励
環礁	かんしょう	环礁
観賞	かんしょう	观赏
緩衝地帯	かんしょうちたい	缓冲地带
間食	かんしょく	吃零食，两餐间进食
関心事	かんしんじ	关心的事，关注的问题
幹事	かんじ	干事，负责人
感じ取る	かんじとる	感受到，体会到
感受性	かんじゅせい	感受性，敏感度
環状	かんじょう	环状，圆环形
感情的	かんじょうてき	感情用事的，情绪化的
勧進	かんじん	（寺庙的）募捐，劝募
完遂	かんすい	完成，达成
管制	かんせい	（对空、对交通等的）管制
閑静	かんせい	（住宅区等）幽静，僻静
管制官	かんせいかん	（空中交通）管制员
管制塔	かんせいとう	（机场）控制塔
関節	かんせつ	关节
間接税	かんせつぜい	间接税
艦船	かんせん	舰船
観戦	かんせん	观战
感染症	かんせんしょう	感染症，传染病
敢然	かんぜん	毅然，果敢地
完全試合	かんぜんじあい	（棒球）完全比赛，无安打无失分比赛
勧善懲悪	かんぜんちょうあく	劝善惩恶
完走	かんそう	跑完全程
寒村	かんそん	偏僻的穷村庄
歓待	かんたい	盛情款待
艦隊	かんたい	舰队
干拓	かんたく	（填海、围垦）造地
感嘆	かんたん	感叹，赞叹
カンタータ	かんたーた	（音乐）康塔塔
寛大	かんだい	宽大，宽厚
甲高い	かんだかい	尖锐的，尖细的（声音）
歓談	かんだん	畅谈，欢谈
寒暖計	かんだんけい	寒暑表，温度计
完治	かんち	痊愈，彻底治愈
寒中	かんちゅう	严冬，寒冬期间
管長	かんちょう	（宗派）总住持，管长
貫通	かんつう	贯通，穿通
カンツォーネ	かんつぉーね	（意大利）坎佐纳歌曲
官邸	かんてい	官邸
艦艇	かんてい	舰艇
貫徹	かんてつ	贯彻，实现
カント	かんと	斜角，倾斜（弯道超高）
敢闘	かんとう	奋勇作战
完投	かんとう	（棒球投手）投完全场
広東	かんとん	广东；广州
管内	かんない	辖区内
館内	かんない	馆内（图书馆、博物馆、影院等内部）
神主	かんぬし	神社祭司，神主
観音	かんのん	观音菩萨
完売	かんばい	售罄，卖光
間伐	かんばつ	（森林）间伐
カンパ	かんぱ	募捐，捐款
完敗	かんぱい	惨败，完败
カンパニー	かんぱにー	公司；剧团
甲板	かんぱん	（船的）甲板
甘美	かんび	甘美，甜美
カンフル	かんふる	樟脑；强心剂，兴奋剂
患部	かんぶ	患处，病灶
乾物	かんぶつ	干货
漢文	かんぶん	汉文，古汉语文言文
還付	かんぷ	归还，退还
完封	かんぷう	（棒球）完封
鑑別	かんべつ	鉴别
完璧	かんぺき	完美，完善无缺
官房	かんぼう	（政府机关的）官房，秘书处
官房長官	かんぼうちょうかん	（日本）内阁官房长官
陥没	かんぼつ	塌陷，凹陷
官報	かんぽう	（政府）公报
漢方	かんぽう	中医，汉方（传统中医药）
巻末	かんまつ	卷末，书末
干満	かんまん	（潮汐）涨落
緩慢	かんまん	缓慢，迟缓
甘味料	かんみりょう	甜味剂
官民	かんみん	官方与民间
喚問	かんもん	传讯
関門	かんもん	关口，难关
肝要	かんよう	极其重要，紧要
陥落	かんらく	陷落，沦陷；下降
歓楽街	かんらくがい	（歌舞）欢乐街，风月场所
官吏	かんり	官吏，公务员
監理	かんり	监督管理
管理者	かんりしゃ	管理者，管理人
管理職	かんりしょく	管理职位，管理岗位
管理人	かんりにん	管理员，看门人
簡略	かんりゃく	简略
還流	かんりゅう	回流，倒流
感涙	かんるい	感激的泪水
寒冷	かんれい	寒冷
カースト	かーすと	种姓制度
カーチェイス	かーちぇいす	汽车追逐（戏）
カーディガン	かーでぃがん	开襟毛衣
カート	かーと	手推车；卡丁车
カートリッジ	かーとりっじ	（墨盒、弹匣等）盒式装置
カードゲーム	かーどげーむ	纸牌游戏
カーニバル	かーにばる	狂欢节
カーネーション	かーねーしょん	康乃馨
カーフェリー	かーふぇりー	汽车渡轮
カーボン	かーぼん	碳；复写纸
カーリング	かーりんぐ	冰壶（运动）
カール	かーる	卷发，卷曲
カーレース	かーれーす	赛车
カーン	かーん	（人名）卡恩
が	が	（主语助词）；但是，可是
ガイ	がい	家伙，小子
街	がい	……街，……区
外	がい	……之外
外圧	がいあつ	外部压力
外苑	がいえん	外苑（神社或宫殿外围花园）
外角	がいかく	外角
外郭	がいかく	外郭，外围轮廓
外郭団体	がいかくだんたい	外围组织，附属机构
外気	がいき	户外空气
概況	がいきょう	概况
外交官	がいこうかん	外交官
骸骨	がいこつ	骸骨，骨架
概算	がいさん	概算，估算
外資	がいし	外资
外車	がいしゃ	进口车，外国车
外傷	がいしょう	外伤
外信	がいしん	国际电讯，国外报道
外需	がいじゅ	外需，国外需求
外人	がいじん	外国人（多指西方人）
街宣車	がいせんしゃ	（右翼团体等的）宣传车
ガイダンス	がいだんす	指导，引导
害虫	がいちゅう	害虫
外電	がいでん	国外电讯
街灯	がいとう	路灯
外米	がいまい	进口大米
外務	がいむ	外务，外交事务
外務省	がいむしょう	（日本）外务省
外面	がいめん	外表，外表面
外野	がいや	（棒球）外场；局外人，旁观者
外野手	がいやしゅ	（棒球）外场手
外遊	がいゆう	出国游历，海外访问
外洋	がいよう	外洋，远海
街路	がいろ	街道，街路
街路樹	がいろじゅ	行道树
外～	がい～	外……
ガウシアン	がうしあん	高斯（分布）
ガウン	がうん	长袍，晨衣
雅楽	ががく	雅乐（日本宫廷音乐）
学位	がくい	学位
学院	がくいん	学院
学園	がくえん	学园，校园
学際	がくさい	跨学科的
学識	がくしき	学识，学问造诣
学習指導要領	がくしゅうしどうようりょう	（日本）学习指导要领，课程标准
楽章	がくしょう	（乐曲的）乐章
学生時代	がくせいじだい	学生时代
学卒	がくそつ	大学毕业生
楽隊	がくたい	乐队
楽団	がくだん	乐团
学徒	がくと	学生，学子
学童	がくどう	学童，小学生
学内	がくない	校内
額縁	がくぶち	画框
額面	がくめん	面值，票面金额
楽屋	がくや	（剧场）化妆室，后台
学友	がくゆう	学友，同学
学齢	がくれい	学龄
学割	がくわり	学生优惠
餓死	がし	饿死
ガシガシ	がしがし	粗鲁地，猛地（拟声拟态词）
画商	がしょう	画商
賀正	がしょう	恭贺新禧
ガジェット	がじぇっと	小工具，小玩意
賀状	がじょう	贺年卡
ガスタービン	がすたーびん	燃气轮机
ガストアルバイター	がすとあるばいたー	外籍劳工
ガスボンベ	がすぼんべ	煤气罐
ガスマスク	がすますく	防毒面具
ガソール	がそーる	乙醇汽油
画像	がぞう	图像，影像
ガタガタ	がたがた	咔嗒咔嗒响；摇晃不稳；哆嗦
雅致	がち	雅致，风雅
学界	がっかい	学界，学术界
学会誌	がっかいし	学会会刊
学究	がっきゅう	学者，钻研学问的人
楽曲	がっきょく	乐曲
学区	がっく	学区
学校法人	がっこうほうじん	（依法设立的）学校法人
学校名	がっこうめい	校名
合作	がっさく	合作（作品）
合宿	がっしゅく	集训，集体住宿训练
合掌	がっしょう	合掌
合唱団	がっしょうだん	合唱团
合奏	がっそう	合奏
ガッツ	がっつ	胆量，魄力
ガッツポーズ	がっつぽーず	（获胜后的）握拳庆祝姿势
ガット	がっと	肠线（网球拍弦、琴弦用）
月日	がっぴ	月日，日期
合併症	がっぺいしょう	并发症
月	がつ	……月
合点	がてん	理解，领会；同意
画伯	がはく	画家（敬称）
ガボット	がぼっと	加沃特舞曲
ガメラン	がめらん	甘美兰（印尼传统器乐合奏）
画用紙	がようし	图画纸
ガラクタ|我楽多	がらくた	破烂，废物
ガラス戸	がらすど	玻璃门
ガラス張り	がらすばり	镶玻璃的；坦荡公开的
がらん	がらん	空荡荡（形容空旷寂静）
ガリウム	がりうむ	镓（元素符号Ga）
ガリバー	がりばー	格列佛；某领域中出类拔萃的巨头
ガリレオ	がりれお	伽利略
がる	がる	（接尾）表示显出…样子，觉得…（如寒がる：觉得冷）
瓦礫	がれき	瓦砾；碎石；废墟碎片
画廊	がろう	画廊；美术馆
ガロン	がろん	加仑
側	がわ	侧，边；（钟表等的）壳，外壳
ガン	がん	枪
雁	がん	大雁
願	がん	祈愿；心愿；许愿
岩塩	がんえん	岩盐
眼科医	がんかい	眼科医生
ガンガン	がんがん	哐哐（撞击声）；（疼痛等）阵阵剧烈
頑強	がんきょう	顽强；倔强；固执
元金	がんきん	本金；本钱
岩礁	がんしょう	暗礁
元祖	がんそ	始祖；创始人；元祖
含蓄	がんちく	含蓄；蕴含深意
がんばって|頑張って	がんばって	加油；坚持住
頑張り	がんばり	坚持；奋斗；韧劲
岸壁	がんぺき	码头壁；防波堤；峭壁
元本	がんぽん	本金；本钱
Γ	がんま	希腊字母γ（伽马）
顔面	がんめん	颜面；脸部
含有	がんゆう	含有（某成分）
ガーディアン	がーでぃあん	守护者；监护人
ガーデン	がーでん	花园；庭院
ガードマン	がーどまん	保安；警卫
ガールフレンド	がーるふれんど	女朋友
機	き	时机；机会；机器；飞机
気合	きあい	气势；干劲；（发出）吆喝声
奇異	きい	奇异；奇怪
生糸	きいと	生丝
起因	きいん	起因；源于
棋院	きいん	棋院
キウイ	きうい	猕猴桃；几维鸟
機運	きうん	时机；机运；大势所趋
帰依	きえ	皈依
気鋭	きえい	锐气十足；朝气蓬勃
気負い	きおい	干劲十足；意气昂扬
既往症	きおうしょう	既往病史
キオスク	きおすく	小卖亭；书报亭
幾何	きか	几何（学）
奇怪	きかい	奇怪；离奇；蹊跷
機械化	きかいか	机械化
幾何学	きかがく	几何学
企画室	きかくしつ	企划室
聞かす	きかす	讲给…听；说给…听
利かせる	きかせる	发挥（作用）；施展（威力）
基幹	きかん	骨干；核心；基础
帰還	きかん	归还；返航；（电路等的）反馈
期間限定	きかんげんてい	限时（供应等）
気管支	きかんし	支气管
機関紙	きかんし	机关报；机关刊物
機関銃	きかんじゅう	机关枪
飢餓	きが	饥饿；饥荒
気概	きがい	骨气；气概
器楽	きがく	器乐
気がつく	きがつく	察觉；注意到；意识到
機器	きき	仪器；设备；器械
聞き書き	ききがき	（采访）笔录
棄却	ききゃく	驳回；弃权
危急	ききゅう	危急；紧急
気球	ききゅう	气球
帰休	ききゅう	临时休假；停薪留职
寄金	ききん	捐款
貴金属	ききんぞく	贵金属
木々	きぎ	树木（们）
企業家	きぎょうか	企业家
訊く	きく	询问；打听
気配り	きくばり	体贴；周到；用心照顾
危険性	きけんせい	危险性
紀元	きげん	纪元
紀元前	きげんぜん	公元前
寄港	きこう	（船只）停靠港口
紀行	きこう	游记；纪行
起工	きこう	动工；开工
季語	きご	季语（俳句中表示季节的词）
起債	きさい	发行公债
鬼才	きさい	鬼才；奇才
器材	きざい	器材
機材	きざい	机械材料；设备器材
刻み	きざみ	切碎；刻痕
棋士	きし	棋手（围棋、将棋）
騎士	きし	骑士
起死回生	きしかいせい	起死回生
岸辺	きしべ	岸边
記者会見	きしゃかいけん	记者招待会
旗手	きしゅ	旗手
機首	きしゅ	机首
騎手	きしゅ	骑手；骑师
奇襲	きしゅう	奇袭
寄宿舎	きしゅくしゃ	宿舍；寄宿舍
気性	きしょう	性情；脾气
希少	きしょう	稀少；罕见
記章	きしょう	徽章；勋章
気象学	きしょうがく	气象学
気象台	きしょうだい	气象台
気象予報士	きしょうよほうし	气象预报员
鬼神	きしん	鬼神
基軸	きじく	基轴；基础；核心
喜寿	きじゅ	喜寿（77岁）
奇術	きじゅつ	魔术；戏法
基準法	きじゅんほう	基准法
机上	きじょう	纸上（谈兵）；书桌上；理论上的
気丈	きじょう	坚强；刚强；有胆量
キス	きす	接吻
奇数	きすう	奇数
築き上げる	きずきあげる	建立起来；缔造
寄生	きせい	寄生
既製	きせい	现成的；成品的
気勢	きせい	气势；声势
棋聖	きせい	棋圣
既成事実	きせいじじつ	既成事实
寄生虫	きせいちゅう	寄生虫
既製服	きせいふく	成衣
軌跡	きせき	轨迹；经历过的道路
季節風	きせつふう	季风
気絶	きぜつ	昏厥；昏迷
起草	きそう	起草
起訴猶予	きそゆうよ	暂缓起诉
既存	きそん	既有；现有
毀損	きそん	损毁；损害；诽谤
帰属	きぞく	归属
北アイルランド	きたあいるらんど	北爱尔兰
機体	きたい	机身；机体
期待感	きたいかん	期待感
北風	きたかぜ	北风
北側	きたがわ	北侧
北九州	きたきゅうしゅう	北九州（市名）
北国	きたぐに	北国；北方地区
北朝鮮	きたちょうせん	朝鲜（北朝鲜）
キチガイ|気違い	きちがい	疯子；发疯
基調	きちょう	基调
機長	きちょう	机长
記帳	きちょう	记账；登记
貴重品	きちょうひん	贵重物品
キック	きっく	踢
キックオフ	きっくおふ	开球
キックボクシング	きっくぼくしんぐ	踢拳；拳击腿击
喫する	きっする	吃；喝；受到（打击等）
キッズ	きっず	孩子们
キッズビジネス	きっずびじねす	儿童商品业务
吉兆	きっちょう	吉兆；好兆头
キット	きっと	套件；组装件
キッド	きっど	小孩；小鬼
吉報	きっぽう	喜讯；好消息
きつね|狐	きつね	狐狸；（喻）狡猾的人；油豆腐荞麦（乌冬）面
詰問	きつもん	盘问；追问
